,0,1,2,3,4,5,6
0,0,4,0,3,3,5,0
1,5,4,0,2,0,2,1
2,0,3,0,0,1,0,2
3,7,0,4,0,5,3,0
4,0,5,0,0,0,0,1
5,0,0,0,1,1,2,1
6,1,0,0,1,1,0,0
