origem,SAO,RIO,BSB,CNF,CWB,REC,POA
SCS,,10703,24398,14069,10626,110813,
SJP,11248,22101,,25729,,127278,19716
SBC,,12606,,,11759,,31504
BET,12188,,21151,,21164,53181,
DIA,,13854,27345,,,,28820
PIR,,,,22169,14300,86746,33548
PRL,7356,,,11754,18326,,
